id,target
0,1
2,0
3,0
9,0
11,0
12,1
21,1
22,1
27,0
29,0
30,0
35,0
42,0
43,1
45,1
46,1
47,1
51,0
58,0
60,0
69,0
70,0
72,0
75,1
84,1
87,0
88,0
90,0
94,1
99,0
101,0
103,0
106,0
108,1
111,0
115,0
116,0
122,0
123,1
124,1
125,1
127,0
140,1
142,0
147,1
148,0
150,0
152,0
154,0
155,0
166,0
167,1
169,1
177,1
179,0
181,0
186,1
188,1
189,0
192,0
200,0
202,1
206,0
207,1
214,1
217,0
223,1
224,1
227,0
228,1
230,0
233,1
234,0
236,1
239,0
250,0
255,0
257,1
259,0
275,1
278,0
282,0
284,0
286,1
288,0
292,0
295,0
300,0
304,1
305,1
306,0
308,0
311,1
317,1
319,1
323,1
324,0
325,0
326,0
333,1
339,0
342,1
343,0
350,1
351,1
357,1
359,1
362,0
366,0
367,1
369,0
373,1
374,1
376,0
377,0
378,0
379,1
382,1
385,1
387,1
388,0
391,0
392,0
395,0
399,1
400,1
403,1
405,0
408,0
411,0
414,0
416,0
417,1
422,1
425,0
428,0
430,1
431,0
433,1
434,1
439,1
441,0
449,0
458,0
460,0
464,1
473,0
488,0
491,0
494,0
497,1
500,1
505,0
507,0
508,0
510,1
511,1
515,1
525,1
529,1
532,0
534,1
537,1
539,0
541,1
545,0
547,0
548,0
549,1
553,0
554,0
555,0
557,0
562,0
566,1
572,0
573,1
582,0
586,1
587,1
590,0
591,0
593,1
595,0
596,0
597,1
601,0
602,0
605,1
610,0
616,0
618,1
620,1
626,1
627,0
629,0
632,1
634,0
639,1
645,0
647,1
648,0
650,1
663,0
666,0
668,0
670,0
673,0
676,1
678,1
692,0
693,1
694,0
695,0
696,1
698,0
701,1
703,1
707,0
708,0
711,1
715,0
718,1
722,0
723,1
733,1
741,0
742,1
743,0
747,0
749,0
750,1
756,0
757,0
760,0
764,0
765,0
766,1
768,1
769,0
771,0
772,0
776,1
778,0
780,1
785,0
789,0
792,1
793,1
811,1
813,0
816,1
821,0
824,0
825,1
827,1
830,1
831,1
839,1
844,1
847,1
850,0
854,1
855,0
858,0
861,0
862,1
865,1
869,0
879,0
880,0
887,1
889,1
897,0
900,1
901,1
904,0
908,0
909,0
910,0
913,0
914,1
917,0
918,0
920,0
922,1
924,1
925,1
927,0
933,0
937,0
943,1
949,1
950,1
954,0
966,0
967,0
969,1
970,1
973,1
975,0
980,0
988,0
989,0
995,0
1000,0
1003,0
1007,0
1011,1
1012,1
1013,1
1014,0
1016,0
1019,1
1025,1
1027,0
1028,0
1030,1
1033,0
1034,1
1039,0
1046,0
1047,1
1053,1
1055,0
1056,0
1059,1
1060,1
1063,1
1064,1
1068,1
1076,1
1086,1
1087,1
1089,0
1092,1
1095,0
1096,1
1097,1
1100,1
1101,1
1107,1
1108,1
1111,0
1115,0
1116,0
1121,1
1125,1
1127,1
1131,0
1133,0
1135,0
1137,1
1140,1
1144,0
1147,0
1148,1
1150,0
1158,0
1159,0
1161,1
1163,0
1165,1
1169,0
1171,1
1172,0
1176,0
1180,1
1184,0
1186,0
1187,0
1192,1
1193,0
1194,0
1197,0
1200,0
1205,1
1210,0
1216,1
1220,0
1231,0
1233,1
1246,1
1247,1
1248,0
1255,0
1256,1
1257,0
1258,1
1260,1
1261,1
1265,1
1266,0
1268,1
1274,1
1281,0
1285,0
1286,1
1291,0
1292,1
1295,1
1299,0
1306,1
1310,1
1311,0
1313,1
1314,0
1322,0
1323,0
1325,0
1329,0
1330,0
1333,0
1336,0
1339,0
1342,0
1344,1
1355,0
1357,0
1358,0
1359,1
1364,1
1366,0
1367,1
1370,0
1373,1
1377,0
1386,0
1387,1
1392,0
1397,0
1398,1
1400,0
1403,1
1404,0
1410,1
1413,0
1416,1
1417,0
1423,0
1424,1
1426,0
1427,0
1428,0
1430,0
1434,1
1435,1
1437,0
1438,1
1442,0
1446,0
1451,0
1457,0
1461,1
1462,0
1465,0
1468,0
1469,0
1471,0
1476,1
1478,1
1481,1
1489,0
1490,0
1492,0
1496,1
1512,1
1516,1
1517,1
1528,1
1529,1
1536,1
1539,0
1541,1
1542,0
1548,1
1550,1
1551,1
1552,0
1557,0
1563,1
1564,1
1565,0
1566,1
1571,1
1578,1
1581,0
1583,0
1584,0
1586,0
1589,0
1592,0
1598,1
1606,1
1612,0
1616,1
1620,0
1624,1
1629,0
1630,1
1635,0
1640,0
1641,1
1642,1
1651,0
1655,0
1656,1
1659,0
1664,0
1667,1
1668,0
1674,0
1678,1
1680,0
1681,0
1682,1
1685,1
1695,1
1696,0
1697,1
1704,0
1708,0
1711,0
1713,0
1714,1
1717,0
1729,0
1730,1
1732,0
1734,0
1736,1
1738,1
1742,0
1743,1
1746,0
1748,1
1749,0
1751,0
1758,1
1764,0
1765,0
1777,1
1778,0
1781,1
1782,1
1783,1
1785,1
1788,1
1793,0
1794,1
1795,0
1797,1
1800,1
1801,1
1805,1
1806,0
1819,0
1820,0
1825,0
1828,0
1829,0
1830,0
1839,0
1843,1
1844,1
1846,1
1849,0
1850,0
1854,0
1855,1
1858,0
1859,0
1862,0
1867,0
1868,1
1871,1
1872,1
1874,0
1876,1
1879,1
1884,0
1891,1
1894,1
1896,0
1902,0
1903,0
1904,0
1906,1
1907,1
1912,0
1913,1
1923,1
1926,1
1928,1
1930,1
1931,1
1934,1
1936,0
1944,0
1946,1
1947,0
1958,1
1964,1
1970,0
1974,0
1977,0
1978,0
1982,0
1984,0
1988,1
1993,1
1997,1
1998,0
2002,0
2004,1
2005,1
2008,1
2011,0
2013,1
2018,0
2021,1
2025,0
2029,1
2030,1
2032,1
2037,0
2041,1
2044,1
2048,1
2052,0
2053,1
2054,1
2062,0
2065,0
2066,1
2072,0
2079,0
2080,1
2085,1
2088,1
2090,0
2092,0
2093,0
2101,0
2104,0
2105,0
2106,0
2107,1
2120,0
2124,0
2127,1
2130,0
2132,1
2135,1
2137,0
2140,1
2143,0
2147,1
2151,1
2152,0
2155,0
2156,0
2162,0
2165,0
2166,1
2167,1
2168,0
2170,1
2178,1
2180,1
2182,1
2184,1
2185,0
2187,1
2196,0
2197,0
2199,0
2200,1
2201,0
2202,1
2206,1
2208,0
2218,1
2223,1
2224,1
2226,0
2228,1
2232,1
2234,1
2243,0
2247,0
2249,0
2252,0
2253,0
2259,1
2261,0
2264,1
2268,1
2269,1
2270,0
2276,1
2283,0
2287,0
2290,0
2291,1
